# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4720044081536
#
# Overhead  Command         Shared Object          Symbol                                  
# ........  ..............  .....................  ........................................
#
    45.09%  benchmark-blas  libblis.so             [.] bli_dgemm_haswell_asm_6x8
    28.18%  benchmark-blas  libblis.so             [.] bli_thrcomm_barrier_atomic
    23.47%  benchmark-blas  libblis.so             [.] bli_dpackm_haswell_asm_6x8
     1.13%  benchmark-blas  benchmark-blas         [.] fill
     0.56%  benchmark-blas  libgomp.so.1.0.0       [.] omp_get_num_procs
     0.45%  benchmark-blas  libblis.so             [.] bli_gemm_ker_var2
     0.33%  benchmark-blas  libblis.so             [.] bli_ddpackm_struc_cxk
     0.15%  benchmark-blas  libblis.so             [.] bli_stack_get
     0.15%  benchmark-blas  [unknown]              [k] 0xffffffff81801220
     0.06%  benchmark-blas  libblis.so             [.] bli_thrcomm_barrier
     0.06%  benchmark-blas  libc-2.31.so           [.] __memset_avx2_erms
     0.05%  benchmark-blas  libc-2.31.so           [.] __memcpy_avx_unaligned_erms
     0.03%  benchmark-blas  libblis.so             [.] bli_packm_blk_var1
     0.03%  benchmark-blas  ld-2.31.so             [.] __tls_get_addr
     0.02%  benchmark-blas  libblis.so             [.] bli_packm_int
     0.02%  benchmark-blas  libblis.so             [.] bli_pthread_switch_on
     0.02%  benchmark-blas  libblis.so             [.] bli_l3_packa
     0.02%  benchmark-blas  libblis.so             [.] bli_obj_create_without_buffer
     0.01%  benchmark-blas  libblis.so             [.] bli_acquire_mpart_mdim
     0.01%  benchmark-blas  libblis.so             [.] bli_mulsc
     0.01%  benchmark-blas  libblis.so             [.] bli_gemm_blk_var1
     0.01%  benchmark-blas  libblis.so             [.] bli_dt_size
     0.01%  benchmark-blas  libblis.so             [.] bli_error_checking_level
     0.01%  benchmark-blas  libblis.so             [.] bli_obj_scalar_detach
     0.01%  benchmark-blas  libblis.so             [.] bli_obj_scalar_init_detached
     0.01%  benchmark-blas  libblis.so             [.] bli_packm_scalar
     0.01%  benchmark-blas  libblis.so             [.] bli_copysc
     0.01%  benchmark-blas  libblis.so             [.] bli_mulsc_qfp
     0.01%  benchmark-blas  libblis.so             [.] bli_l0_xxsc_check
     0.00%  benchmark-blas  libblis.so             [.] bli_zmulsc
     0.00%  benchmark-blas  libblis.so             [.] bli_packm_init
     0.00%  benchmark-blas  libblis.so             [.] bli_packm_alloc_ex
     0.00%  benchmark-blas  libblis.so             [.] bli_error_checking_is_enabled
     0.00%  benchmark-blas  libblis.so             [.] bli_align_dim_to_mult
     0.00%  benchmark-blas  libblis.so             [.] bli_check_error_code_helper
     0.00%  benchmark-blas  libblis.so             [.] bli_check_scalar_object
     0.00%  benchmark-blas  libblis.so             [.] bli_packm_alloc
     0.00%  benchmark-blas  libblis.so             [.] bli_init_once
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81025743
     0.00%  benchmark-blas  libblis.so             [.] bli_thread_range_sub
     0.00%  benchmark-blas  libblis.so             [.] bli_check_conformal_dims
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801223
     0.00%  benchmark-blas  libblis.so             [.] bli_obj_create_without_buffer_check
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2db
     0.00%  benchmark-blas  libblis.so             [.] bli_acquire_mpart_ndim
     0.00%  benchmark-blas  libblis.so             [.] bli_dt_size_check
