# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:u'
# Event count (approx.): 3514307423429
#
# Overhead  Command         Shared Object             Symbol                                                                                                    
# ........  ..............  ........................  ..........................................................................................................
#
    87.02%  benchmark-blas  libsci_gnu_123_mp.so.6.0  [.] dgemm_kernel_loop_mnk_a1b1_mt_naples
     3.85%  benchmark-blas  libsci_gnu_123_mp.so.6.0  [.] dgemm_tcopy_12_avx2
     3.64%  benchmark-blas  libsci_gnu_123_mp.so.6.0  [.] dgemm_nkm_loop_a1b1_naples._omp_fn.7
     2.27%  benchmark-blas  libsci_gnu_123_mp.so.6.0  [.] dgemm_ncopy_4_avx2
     1.53%  benchmark-blas  benchmark-blas            [.] fill
     1.44%  benchmark-blas  libgomp.so.1.0.0          [.] omp_get_num_procs
     0.08%  benchmark-blas  libc-2.31.so              [.] __memset_avx2_erms
     0.06%  benchmark-blas  libc-2.31.so              [.] __memcpy_avx_unaligned_erms
     0.06%  benchmark-blas  [unknown]                 [k] 0xffffffff81801220
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800ea0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801400
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801223
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001f8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eacda
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db7d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81025743
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dae91
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810490f3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f2db
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104fbfb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ace
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8abb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ac1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aec0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107af01
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818019d5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810490d7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aedd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db827
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c185
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818019d0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104910a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eb720
