# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:u'
# Event count (approx.): 4982579087577
#
# Overhead  Command         Shared Object             Symbol                                                                                 
# ........  ..............  ........................  .......................................................................................
#
    61.35%  benchmark-blas  libmkl_def.so.2           [.] mkl_blas_def_dgemm_kernel_zen
    20.22%  benchmark-blas  libmkl_def.so.2           [.] mkl_blas_def_dgemm_copyan_bdz
    11.82%  benchmark-blas  libiomp5.so               [.] _INTERNAL92a63c0c::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>
     1.93%  benchmark-blas  libmkl_def.so.2           [.] mkl_blas_def_dgemm_copybn_bdz
     1.28%  benchmark-blas  libmkl_def.so.2           [.] mkl_blas_def_dgemm_pst
     0.58%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a31
     0.55%  benchmark-blas  libiomp5.so               [.] _INTERNAL92a63c0c::__kmp_hyper_barrier_gather
     0.26%  benchmark-blas  libiomp5.so               [.] kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check
     0.15%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a3b
     0.08%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a49
     0.07%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a2c
     0.07%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4386
     0.06%  benchmark-blas  [unknown]                 [k] 0xffffffff81801220
     0.06%  benchmark-blas  libc-2.31.so              [.] __memset_avx2_erms
     0.05%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba37d
     0.05%  benchmark-blas  libc-2.31.so              [.] __memcpy_avx_unaligned_erms
     0.05%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba369
     0.04%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4358
     0.04%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a4e
     0.04%  benchmark-blas  benchmark-blas            [.] 0x00000000000019f6
     0.04%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a87
     0.04%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a6d
     0.04%  benchmark-blas  benchmark-blas            [.] 0x0000000000001a0d
     0.03%  benchmark-blas  [unknown]                 [k] 0xffffffff81800043
     0.03%  benchmark-blas  [unknown]                 [k] 0xffffffff8102652f
     0.03%  benchmark-blas  [unknown]                 [k] 0xffffffff81904104
     0.03%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a885
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7e45
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba36d
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6ac2
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff81800040
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff81904108
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a942
     0.02%  benchmark-blas  libc-2.31.so              [.] sched_yield
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4380
     0.02%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4042
     0.01%  benchmark-blas  libmkl_def.so.2           [.] mkl_blas_def_xdgemm_hi_thr_bdz
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817db680
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfa4
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817eb720
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4370
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4368
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f36
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a850
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba456
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817eaca0
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810f63c0
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8180004c
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba375
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cdf
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7ef0
     0.01%  benchmark-blas  libiomp5.so               [.] __kmp_yield
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa50
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e12
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817db77a
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf61
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a954
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f12
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4726
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817db781
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6aaa
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6774
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817db794
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cc7
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3dfc
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3ee
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a45
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfcc
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba685
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf9d
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e07
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff81800005
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf4a
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfc5
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9fd
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba332
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6779
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f42
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e58
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd13f
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa7f
     0.01%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3dab
     0.00%  benchmark-blas  libmkl_core.so.2          [.] mm_account_ptr_by_tid
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac8cb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba338
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db77b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000e3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf38
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4435
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf37
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c435e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103773
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a869
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4372
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3cc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cdc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd147
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3e2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cc0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4412
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c438a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000d9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba34f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6769
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c436b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a3e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba387
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b677b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f2d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6acc
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba31a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cce
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a55
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a87a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba37f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f32
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6ab0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6abe
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf36
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4729
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3d8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ead
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85ca
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db671
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac8fb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac902
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a934
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6aad
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e471d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba446
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf52
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3f4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b678f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db676
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfa2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf95
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf30
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a75
