# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
    54.78%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_kernel
    41.72%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] inner_thread
     1.20%  benchmark-blas  benchmark-blas                   [.] fill
     0.97%  benchmark-blas  libgomp.so.1.0.0                 [.] omp_get_num_procs
     0.73%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_itcopy
     0.43%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_oncopy
     0.07%  benchmark-blas  libc-2.31.so                     [.] __memset_avx2_erms
     0.05%  benchmark-blas  libc-2.31.so                     [.] __memcpy_avx_unaligned_erms
     0.03%  benchmark-blas  [unknown]                        [k] 0xffffffff81801220
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81025743
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801223
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db7d6
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800ea0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818001e8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8104fbfb
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eacda
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8107af01
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2db
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490d7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490f3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818001f0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c185
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f344
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d8ace
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f37a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8104910a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eb720
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8107aedd
     0.00%  benchmark-blas  libgomp.so.1.0.0                 [.] omp_fulfill_event
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817dae91
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8104fbf2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2b5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81904104
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801265
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818019da
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d8abb
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817daea2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490e8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818019d5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110ab2c
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] exec_threads
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1a7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8107aec5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2fa
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_kernel@plt
